sentenceID,sentenceType,m1,word,m1_relatedness,m2_relatedness,m1_trigram,m2_trigram,unigram
50,pun,garden,patch,1.110548584,-0.566140103,0.000109671,9.12E-05,1.32E-05
51,pun,bean,bean,0,0,3.32E-06,0.14607,4.21E-06
51,pun,bean,selling,-0.652661735,0.582549294,4.09E-06,4.09E-06,4.40E-05
51,pun,bean,coffee,1.660317803,-0.584549235,0.000413523,0.000413523,5.04E-05
51,pun,bean,perks,-0.508400531,-0.723754513,3.73E-06,3.73E-06,2.15E-06
51,pun,bean,those,-0.889691066,-0.506007447,0.00407938,0.00407938,0.00069799
51,pun,bean,lucky,-0.629772767,-0.132889355,0.000518295,0.00805267,3.18E-05
52,pun,odor,odor,0,0,2.16E-06,0.00389359,8.13E-09
52,pun,odor,sign,-0.476426771,0.453981087,3.82E-06,3.82E-06,6.51E-05
52,pun,odor,broken,-0.64930939,-0.365706615,0.000265132,0.000265132,5.55E-05
52,pun,odor,perfume,1.349460204,-0.468285923,1.92E-06,1.92E-06,4.24E-06
52,pun,odor,bottle,-0.175423027,-0.531042077,0.00403508,0.00403508,3.18E-05
52,pun,odor,out,-0.541483176,-0.051627798,0.000285262,0.000285262,0.001586582
53,pun,watt,watt,0,0,1.42E-07,0.930144,5.20E-06
53,pun,watt,sign,-0.505795287,-0.116709271,3.82E-06,3.82E-06,6.51E-05
53,pun,watt,please,-0.967609746,-0.889900822,9.83E-05,9.83E-05,0.000111563
53,pun,watt,turn,-0.843243559,-0.19418994,0.00153109,0.00153109,0.000163905
53,pun,watt,out,-0.658818661,-0.472757556,0.0189194,0.0189194,0.001586582
53,pun,watt,lights,1.688947785,-0.509280299,0.00210965,0.00210965,3.53E-05
53,pun,watt,thanks,-1.005784866,0.665598477,1.01E-08,1.01E-08,5.18E-05
54,pun,pest,pest,0,0,1.23E-06,0.00274276,3.91E-06
54,pun,pest,children,0.019929402,-0.453331164,0.000706022,0.000706022,0.000367204
54,pun,pest,behavior,-0.451721813,0.748248245,5.96E-05,0.0137098,6.34E-07
55,pun,crank,crank,0,0,1.14E-06,0.000239345,7.72E-07
55,pun,crank,people,-0.275070284,-0.661190249,0.0458858,0.0458858,0.000974418
55,pun,crank,get,-0.945886353,-0.734582003,0.0219218,0.0219218,0.000769103
55,pun,crank,up,-0.027226409,-0.313578599,0.0191973,0.0191973,0.001669327
55,pun,crank,work,0.065639743,-0.362394119,0.00880903,0.00880903,0.000718337
55,pun,crank,dawn,-0.920411633,0.572512878,3.82E-05,0.245687,1.90E-05
56,pun,leg,leg,0,0,1.55E-05,0.024239,4.09E-05
56,pun,leg,planes,-0.935994935,0.158193106,6.83E-06,6.83E-06,8.42E-06
56,pun,leg,cramped,0.978330987,-0.466712467,4.40E-05,4.40E-05,3.41E-06
56,pun,leg,passengers,-0.387229821,-0.1539718,4.48E-05,4.48E-05,2.03E-05
